"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H5f000000yMm6EAE","","SC-000011643","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiciEAA","10.0","nRetail__Third_Party_Related_List","","a2H5f000000yMm5EAE","LLC_BI__Service_Mgmt__r","","63041602764632531","LLC_BI__Service_Mgmt__c","","","false","","false"
"a2H5f000000yMm7EAE","","SC-000011645","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xicjEAA","0.0","nRetail__Asset_Schedule","","","","Asset Schedule","09511602764632531","nRetail__Asset__c","","","false","","false"
"a2H5f000000yMm8EAE","","SC-000011646","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xickEAA","0.0","LLC_BI__Income_Schedule","","","","Income Schedule","01261602764632532","LLC_BI__Income__c","","","false","","false"
"a2H5f000000yMm9EAE","","SC-000011648","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiN9EAI","0.0","nRetail__Add_Asset","","","","Add Asset","59971602764632532","nRetail__Asset__c","","","false","","false"
"a2H5f000000yMmAEAU","","SC-000011649","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiclEAA","0.0","LLC_BI__Add_Income","","","","Add Income","82351602764632533","LLC_BI__Income__c","","","false","","false"
"a2H5f000000yMmBEAU","","SC-000011650","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xicmEAA","0.0","nRetail__Underwriting_Overview","","","","Underwriting_Overview","47621602764632533","LLC_BI__Loan__c","","","false","","false"
"a2H5f000000yMmCEAU","","SC-000011651","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xicnEAA","0.0","nRetail__Decision_Overview","","","","Decision_Overview","99061602764632533","LLC_BI__Loan__c","","","false","","false"
"a2H5f000000yMmDEAU","","SC-000011652","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xicoEAA","0.0","","","","","HMDA","15181602764632533","LLC_BI__Loan__c","","","false","","false"
"a2H5f000000yMmEEAU","","SC-000011653","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xicoEAA","10.0","LLC_BI__UI_HMDA_Demographic_Questions","","a2H5f000000yMmDEAU","LLC_BI__Legal_Entities__r","","76141602764632534","LLC_BI__Legal_Entities__c","","","false","","false"
"a2H5f000000yMmFEAU","","SC-000011654","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNAEAY","1.01","","","","","","00001602764632534","LLC_BI__Loan__c","","0.0","false","","false"
"a2H5f000000yMmGEAU","","SC-000011655","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNAEAY","2.02","IBCL_Credit_Auth_Joint_Intent","","a2H5f000000yMmFEAU","LLC_BI__Legal_Entities__r","","33401602764632534","LLC_BI__Legal_Entities__c","","0.0","false","","false"
"a2H5f000000yMmHEAU","","SC-000011661","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNBEAY","1.01","nRetail__Application_Details","","","","","42422425704441854","LLC_BI__Loan__c","","0.0","false","","false"
"a2H5f000000yMmIEAU","","SC-000011665","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNEEAY","1.01","","","","","","42680827785654973","LLC_BI__Loan__c","","0.0","false","","false"
"a2H5f000000yMmJEAU","","SC-000011666","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNEEAY","2.02","IBCL_Locked_Collateral","","a2H5f000000yMmIEAU","LLC_BI__Loan_Collateral__r","","42920025803586649","LLC_BI__Loan_Collateral2__c","","0.0","false","","false"
"a2H5f000000yMmKEAU","","SC-000011669","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","a2F5f000000xiNHEAY","1.01","OA_Primary_ID_Details","","","","","42525740740303463","Contact","","0.0","false","","false"
