"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Order__c","nFORCE__Screen_Section__c","nFORCE__Screen__c","nFORCE__Type__c","nFORCE__lookupKey__c"
"a3v5f000000optDAAQ","0055f000004XdsRAAS","","a3v5f000000optD","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","0.0","a2F5f000000xiRpEAI","a2G5f000000xapnEAA","","a3v5f000000optDAAQ"
"a3v5f000000optEAAQ","0055f000004XdsRAAS","","a3v5f000000optE","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","2021-11-10T13:29:22.000Z","0055f000004XdsRAAS","","","","1.0","a2F5f000000xiRoEAI","a2G5f000000xapnEAA","","a3v5f000000optEAAQ"
