"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c","AutorabitExtId__c"
"a2G4W000002oCeSUAU","0054W00000AfrvnQAB","","Collateral-Real Estate","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:45:03.000Z","0054W00000AfrvnQAB","","","","","","","false","true","42875581032868363","","","","","a2G4W000002oCeSUAU"
"a2G4W000002oCeUUAU","0054W00000AfrvnQAB","","Collateral-Titled","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:45:03.000Z","0054W00000AfrvnQAB","","","","","","","false","true","42229309426024690","","","","","a2G4W000002oCeUUAU"
"a2G4W000002oCeVUAU","0054W00000AfrvnQAB","","Default Pledged Collateral Edit Screen","2020-09-14T16:11:57.000Z","0054W00000AfrvnQAB","2022-03-20T09:45:03.000Z","0054W00000AfrvnQAB","","","","","","","false","true","42871665770611153","","","","","a2G4W000002oCeVUAU"
"a2G4W000002pB9SUAU","0054W00000AfrvnQAB","","Default Pledged Collateral Edit Screen","2021-04-25T09:16:39.000Z","0054W00000AfrvnQAB","2022-02-02T07:50:35.000Z","0054W00000AfrvnQAB","","","","","","","false","true","42742750444485483","","","","","a344T000000CfP0QAK"
